,texto,tokens,bigramas_spacy,bigramas_nltk,texto_lematizado,texto_preprocesado,polaridad
383,con perseverancia compromiso y mucho trabajo los sueños se cumplen,"['con', 'perseverancia', 'compromiso', 'y', 'mucho', 'trabajo', 'los', 'sueños', 'se', 'cumplen']","[('con', 'perseverancia'), ('perseverancia', 'compromiso'), ('compromiso', 'y'), ('y', 'mucho'), ('mucho', 'trabajo'), ('trabajo', 'los'), ('los', 'sueños'), ('sueños', 'se'), ('se', 'cumplen')]","[('con', 'perseverancia', 'compromiso'), ('perseverancia', 'compromiso', 'y'), ('compromiso', 'y', 'mucho'), ('y', 'mucho', 'trabajo'), ('mucho', 'trabajo', 'los'), ('trabajo', 'los', 'sueños'), ('los', 'sueños', 'se'), ('sueños', 'se', 'cumplen')]",con perseverancia compromiso y mucho trabajo el sueño él cumplir,"['perseverancia', 'compromiso', 'trabajo', 'sueño', 'cumplir']",0.11661756852309839
384,achaspm los de mc,"['achaspm', 'los', 'de', 'mc']","[('achaspm', 'los'), ('los', 'de'), ('de', 'mc')]","[('achaspm', 'los', 'de'), ('los', 'de', 'mc')]",achaspm el de mc,"['achaspm', 'mc']",0.3448789537043245
385,y ni todo el dinero que tienes te va alcanzar para comprar la honestidad eso es algo que no conoces y que jamás conocerás,"['y', 'ni', 'todo', 'el', 'dinero', 'que', 'tienes', 'te', 'va', 'alcanzar', 'para', 'comprar', 'la', 'honestidad', 'eso', 'es', 'algo', 'que', 'no', 'conoces', 'y', 'que', 'jamás', 'conocerás']","[('y', 'ni'), ('ni', 'todo'), ('todo', 'el'), ('el', 'dinero'), ('dinero', 'que'), ('que', 'tienes'), ('tienes', 'te'), ('te', 'va'), ('va', 'alcanzar'), ('alcanzar', 'para'), ('para', 'comprar'), ('comprar', 'la'), ('la', 'honestidad'), ('honestidad', 'eso'), ('eso', 'es'), ('es', 'algo'), ('algo', 'que'), ('que', 'no'), ('no', 'conoces'), ('conoces', 'y'), ('y', 'que'), ('que', 'jamás'), ('jamás', 'conocerás')]","[('y', 'ni', 'todo'), ('ni', 'todo', 'el'), ('todo', 'el', 'dinero'), ('el', 'dinero', 'que'), ('dinero', 'que', 'tienes'), ('que', 'tienes', 'te'), ('tienes', 'te', 'va'), ('te', 'va', 'alcanzar'), ('va', 'alcanzar', 'para'), ('alcanzar', 'para', 'comprar'), ('para', 'comprar', 'la'), ('comprar', 'la', 'honestidad'), ('la', 'honestidad', 'eso'), ('honestidad', 'eso', 'es'), ('eso', 'es', 'algo'), ('es', 'algo', 'que'), ('algo', 'que', 'no'), ('que', 'no', 'conoces'), ('no', 'conoces', 'y'), ('conoces', 'y', 'que'), ('y', 'que', 'jamás'), ('que', 'jamás', 'conocerás')]",y ni todo el dinero que tener tú ir alcanzar para comprar el honestidad ese ser algo que no conocer y que jamás conocerás,"['dinero', 'alcanzar', 'comprar', 'honestidad', 'jamás', 'conocerás']",1.551693316915561e-08
386,tu presidente amlo ya dijo que los militares no tuvieron la culpa seguramente los estudiantes se dispararon solos,"['tu', 'presidente', 'amlo', 'ya', 'dijo', 'que', 'los', 'militares', 'no', 'tuvieron', 'la', 'culpa', 'seguramente', 'los', 'estudiantes', 'se', 'dispararon', 'solos']","[('tu', 'presidente'), ('presidente', 'amlo'), ('amlo', 'ya'), ('ya', 'dijo'), ('dijo', 'que'), ('que', 'los'), ('los', 'militares'), ('militares', 'no'), ('no', 'tuvieron'), ('tuvieron', 'la'), ('la', 'culpa'), ('culpa', 'seguramente'), ('seguramente', 'los'), ('los', 'estudiantes'), ('estudiantes', 'se'), ('se', 'dispararon'), ('dispararon', 'solos')]","[('tu', 'presidente', 'amlo'), ('presidente', 'amlo', 'ya'), ('amlo', 'ya', 'dijo'), ('ya', 'dijo', 'que'), ('dijo', 'que', 'los'), ('que', 'los', 'militares'), ('los', 'militares', 'no'), ('militares', 'no', 'tuvieron'), ('no', 'tuvieron', 'la'), ('tuvieron', 'la', 'culpa'), ('la', 'culpa', 'seguramente'), ('culpa', 'seguramente', 'los'), ('seguramente', 'los', 'estudiantes'), ('los', 'estudiantes', 'se'), ('estudiantes', 'se', 'dispararon'), ('se', 'dispararon', 'solos')]",tu presidente amlo ya decir que el militar no tener el culpa seguramente el estudiante él disparar solo,"['presidente', 'amlo', 'militar', 'culpa', 'seguramente', 'estudiante', 'disparar']",1.5148306782657942e-07
387,típico de morena tirar la piedra y esconder la mano,"['típico', 'de', 'morena', 'tirar', 'la', 'piedra', 'y', 'esconder', 'la', 'mano']","[('típico', 'de'), ('de', 'morena'), ('morena', 'tirar'), ('tirar', 'la'), ('la', 'piedra'), ('piedra', 'y'), ('y', 'esconder'), ('esconder', 'la'), ('la', 'mano')]","[('típico', 'de', 'morena'), ('de', 'morena', 'tirar'), ('morena', 'tirar', 'la'), ('tirar', 'la', 'piedra'), ('la', 'piedra', 'y'), ('piedra', 'y', 'esconder'), ('y', 'esconder', 'la'), ('esconder', 'la', 'mano')]",típico de morena tirar el piedra y esconder el mano,"['típico', 'morena', 'tirar', 'piedra', 'esconder', 'mano']",0.21214391756848447
388,porque no demandas a,"['porque', 'no', 'demandas', 'a']","[('porque', 'no'), ('no', 'demandas'), ('demandas', 'a')]","[('porque', 'no', 'demandas'), ('no', 'demandas', 'a')]",porque no demandar a,['demandar'],0.009229323603560935
389,neta q lentos son todo el poniente de la ciudad literalmente abandonado la avenida malecón y patria d el zalate lleno d pandillas y uds no usan eso necesitan asesoría,"['neta', 'q', 'lentos', 'son', 'todo', 'el', 'poniente', 'de', 'la', 'ciudad', 'literalmente', 'abandonado', 'la', 'avenida', 'malecón', 'y', 'patria', 'd', 'el', 'zalate', 'lleno', 'd', 'pandillas', 'y', 'uds', 'no', 'usan', 'eso', 'necesitan', 'asesoría']","[('neta', 'q'), ('q', 'lentos'), ('lentos', 'son'), ('son', 'todo'), ('todo', 'el'), ('el', 'poniente'), ('poniente', 'de'), ('de', 'la'), ('la', 'ciudad'), ('ciudad', 'literalmente'), ('literalmente', 'abandonado'), ('abandonado', 'la'), ('la', 'avenida'), ('avenida', 'malecón'), ('malecón', 'y'), ('y', 'patria'), ('patria', 'd'), ('d', 'el'), ('el', 'zalate'), ('zalate', 'lleno'), ('lleno', 'd'), ('d', 'pandillas'), ('pandillas', 'y'), ('y', 'uds'), ('uds', 'no'), ('no', 'usan'), ('usan', 'eso'), ('eso', 'necesitan'), ('necesitan', 'asesoría')]","[('neta', 'q', 'lentos'), ('q', 'lentos', 'son'), ('lentos', 'son', 'todo'), ('son', 'todo', 'el'), ('todo', 'el', 'poniente'), ('el', 'poniente', 'de'), ('poniente', 'de', 'la'), ('de', 'la', 'ciudad'), ('la', 'ciudad', 'literalmente'), ('ciudad', 'literalmente', 'abandonado'), ('literalmente', 'abandonado', 'la'), ('abandonado', 'la', 'avenida'), ('la', 'avenida', 'malecón'), ('avenida', 'malecón', 'y'), ('malecón', 'y', 'patria'), ('y', 'patria', 'd'), ('patria', 'd', 'el'), ('d', 'el', 'zalate'), ('el', 'zalate', 'lleno'), ('zalate', 'lleno', 'd'), ('lleno', 'd', 'pandillas'), ('d', 'pandillas', 'y'), ('pandillas', 'y', 'uds'), ('y', 'uds', 'no'), ('uds', 'no', 'usan'), ('no', 'usan', 'eso'), ('usan', 'eso', 'necesitan'), ('eso', 'necesitan', 'asesoría')]",neta q lento ser todo el poniente de el ciudad literalmente abandonado el avenida malecón y patria d el zalate lleno d pandilla y uds no usar ese necesitar asesoría,"['neto', 'q', 'lento', 'poniente', 'ciudad', 'literalmente', 'abandonado', 'avenida', 'malecón', 'patria', 'd', 'zalate', 'lleno', 'd', 'pandilla', 'uds', 'necesitar', 'asesorío']",0.9408687250912254
390,acerquense a dios y veran como la paz y prosperidad llegaran a sus vidas porque todo lo de dios es siempre bueno,"['acerquense', 'a', 'dios', 'y', 'veran', 'como', 'la', 'paz', 'y', 'prosperidad', 'llegaran', 'a', 'sus', 'vidas', 'porque', 'todo', 'lo', 'de', 'dios', 'es', 'siempre', 'bueno']","[('acerquense', 'a'), ('a', 'dios'), ('dios', 'y'), ('y', 'veran'), ('veran', 'como'), ('como', 'la'), ('la', 'paz'), ('paz', 'y'), ('y', 'prosperidad'), ('prosperidad', 'llegaran'), ('llegaran', 'a'), ('a', 'sus'), ('sus', 'vidas'), ('vidas', 'porque'), ('porque', 'todo'), ('todo', 'lo'), ('lo', 'de'), ('de', 'dios'), ('dios', 'es'), ('es', 'siempre'), ('siempre', 'bueno')]","[('acerquense', 'a', 'dios'), ('a', 'dios', 'y'), ('dios', 'y', 'veran'), ('y', 'veran', 'como'), ('veran', 'como', 'la'), ('como', 'la', 'paz'), ('la', 'paz', 'y'), ('paz', 'y', 'prosperidad'), ('y', 'prosperidad', 'llegaran'), ('prosperidad', 'llegaran', 'a'), ('llegaran', 'a', 'sus'), ('a', 'sus', 'vidas'), ('sus', 'vidas', 'porque'), ('vidas', 'porque', 'todo'), ('porque', 'todo', 'lo'), ('todo', 'lo', 'de'), ('lo', 'de', 'dios'), ('de', 'dios', 'es'), ('dios', 'es', 'siempre'), ('es', 'siempre', 'bueno')]",acerquense a dio y verar como el paz y prosperidad llegar a su vida porque todo él de dio ser siempre bueno,"['acerquense', 'verar', 'paz', 'prosperidad', 'llegar', 'vida']",0.017615576701852542
391,a partir de cuando llevan 3 administraciones y mira que en una compitio,"['a', 'partir', 'de', 'cuando', 'llevan', '3', 'administraciones', 'y', 'mira', 'que', 'en', 'una', 'compitio']","[('a', 'partir'), ('partir', 'de'), ('de', 'cuando'), ('cuando', 'llevan'), ('llevan', '3'), ('3', 'administraciones'), ('administraciones', 'y'), ('y', 'mira'), ('mira', 'que'), ('que', 'en'), ('en', 'una'), ('una', 'compitio')]","[('a', 'partir', 'de'), ('partir', 'de', 'cuando'), ('de', 'cuando', 'llevan'), ('cuando', 'llevan', '3'), ('llevan', '3', 'administraciones'), ('3', 'administraciones', 'y'), ('administraciones', 'y', 'mira'), ('y', 'mira', 'que'), ('mira', 'que', 'en'), ('que', 'en', 'una'), ('en', 'una', 'compitio')]",a partir de cuando llevar 3 administración y mirar que en uno compitio,"['administración', 'mirar', 'compitio']",0.030416721713909172
392,ojalá sea clara lomeli pierde todo no tiene carisma es aburrido está desfasado,"['ojalá', 'sea', 'clara', 'lomeli', 'pierde', 'todo', 'no', 'tiene', 'carisma', 'es', 'aburrido', 'está', 'desfasado']","[('ojalá', 'sea'), ('sea', 'clara'), ('clara', 'lomeli'), ('lomeli', 'pierde'), ('pierde', 'todo'), ('todo', 'no'), ('no', 'tiene'), ('tiene', 'carisma'), ('carisma', 'es'), ('es', 'aburrido'), ('aburrido', 'está'), ('está', 'desfasado')]","[('ojalá', 'sea', 'clara'), ('sea', 'clara', 'lomeli'), ('clara', 'lomeli', 'pierde'), ('lomeli', 'pierde', 'todo'), ('pierde', 'todo', 'no'), ('todo', 'no', 'tiene'), ('no', 'tiene', 'carisma'), ('tiene', 'carisma', 'es'), ('carisma', 'es', 'aburrido'), ('es', 'aburrido', 'está'), ('aburrido', 'está', 'desfasado')]",ojalá ser claro lomeli perder todo no tener carisma ser aburrir estar desfasado,"['ojalá', 'lomeli', 'perder', 'carisma', 'aburrir', 'desfasado']",0.20537608820507777
393,nombramiento del chayote de oro,"['nombramiento', 'del', 'chayote', 'de', 'oro']","[('nombramiento', 'del'), ('del', 'chayote'), ('chayote', 'de'), ('de', 'oro')]","[('nombramiento', 'del', 'chayote'), ('del', 'chayote', 'de'), ('chayote', 'de', 'oro')]",nombramiento del chayote de oro,"['nombramiento', 'chayote', 'oro']",0.5372318511317483
394,usted debería quitar esos mensajes en las bardas y esas lonas en apoyo a su persona para que no quede duda de que usted no los mando poner,"['usted', 'debería', 'quitar', 'esos', 'mensajes', 'en', 'las', 'bardas', 'y', 'esas', 'lonas', 'en', 'apoyo', 'a', 'su', 'persona', 'para', 'que', 'no', 'quede', 'duda', 'de', 'que', 'usted', 'no', 'los', 'mando', 'poner']","[('usted', 'debería'), ('debería', 'quitar'), ('quitar', 'esos'), ('esos', 'mensajes'), ('mensajes', 'en'), ('en', 'las'), ('las', 'bardas'), ('bardas', 'y'), ('y', 'esas'), ('esas', 'lonas'), ('lonas', 'en'), ('en', 'apoyo'), ('apoyo', 'a'), ('a', 'su'), ('su', 'persona'), ('persona', 'para'), ('para', 'que'), ('que', 'no'), ('no', 'quede'), ('quede', 'duda'), ('duda', 'de'), ('de', 'que'), ('que', 'usted'), ('usted', 'no'), ('no', 'los'), ('los', 'mando'), ('mando', 'poner')]","[('usted', 'debería', 'quitar'), ('debería', 'quitar', 'esos'), ('quitar', 'esos', 'mensajes'), ('esos', 'mensajes', 'en'), ('mensajes', 'en', 'las'), ('en', 'las', 'bardas'), ('las', 'bardas', 'y'), ('bardas', 'y', 'esas'), ('y', 'esas', 'lonas'), ('esas', 'lonas', 'en'), ('lonas', 'en', 'apoyo'), ('en', 'apoyo', 'a'), ('apoyo', 'a', 'su'), ('a', 'su', 'persona'), ('su', 'persona', 'para'), ('persona', 'para', 'que'), ('para', 'que', 'no'), ('que', 'no', 'quede'), ('no', 'quede', 'duda'), ('quede', 'duda', 'de'), ('duda', 'de', 'que'), ('de', 'que', 'usted'), ('que', 'usted', 'no'), ('usted', 'no', 'los'), ('no', 'los', 'mando'), ('los', 'mando', 'poner')]",usted deber quitar ese mensaje en el barda y ese lona en apoyo a su persona para que no quedar duda de que usted no el mandar poner,"['deber', 'quitar', 'mensaje', 'barda', 'lona', 'apoyo', 'persona', 'quedar', 'duda', 'mandar']",3.7186687364485835e-07
396,en serio,"['en', 'serio']","[('en', 'serio')]",[],en serio,['serio'],0.48728019602140255
397,vete a un estado del sur ahí si quieren a,"['vete', 'a', 'un', 'estado', 'del', 'sur', 'ahí', 'si', 'quieren', 'a']","[('vete', 'a'), ('a', 'un'), ('un', 'estado'), ('estado', 'del'), ('del', 'sur'), ('sur', 'ahí'), ('ahí', 'si'), ('si', 'quieren'), ('quieren', 'a')]","[('vete', 'a', 'un'), ('a', 'un', 'estado'), ('un', 'estado', 'del'), ('estado', 'del', 'sur'), ('del', 'sur', 'ahí'), ('sur', 'ahí', 'si'), ('ahí', 'si', 'quieren'), ('si', 'quieren', 'a')]",vetir a uno estado del sur ahí si querer a,"['vetir', 'sur', 'querer']",0.02759764952899724
398,ay no mame,"['ay', 'no', 'mame']","[('ay', 'no'), ('no', 'mame')]","[('ay', 'no', 'mame')]",ay no mame,"['ay', 'mame']",0.21921412548362115
399,tu culo,"['tu', 'culo']","[('tu', 'culo')]",[],tu culo,['culo'],0.19924545451767137
400,lo aplicaste vendiendo medicamentos a sobreprecio tu honestidad es innegable,"['lo', 'aplicaste', 'vendiendo', 'medicamentos', 'a', 'sobreprecio', 'tu', 'honestidad', 'es', 'innegable']","[('lo', 'aplicaste'), ('aplicaste', 'vendiendo'), ('vendiendo', 'medicamentos'), ('medicamentos', 'a'), ('a', 'sobreprecio'), ('sobreprecio', 'tu'), ('tu', 'honestidad'), ('honestidad', 'es'), ('es', 'innegable')]","[('lo', 'aplicaste', 'vendiendo'), ('aplicaste', 'vendiendo', 'medicamentos'), ('vendiendo', 'medicamentos', 'a'), ('medicamentos', 'a', 'sobreprecio'), ('a', 'sobreprecio', 'tu'), ('sobreprecio', 'tu', 'honestidad'), ('tu', 'honestidad', 'es'), ('honestidad', 'es', 'innegable')]",él aplicastir vender medicamento a sobreprecio tu honestidad ser innegable,"['aplicastir', 'vender', 'medicamento', 'sobreprecio', 'honestidad', 'innegable']",0.1381102618150476
401,vamos clara cardenas,"['vamos', 'clara', 'cardenas']","[('vamos', 'clara'), ('clara', 'cardenas')]","[('vamos', 'clara', 'cardenas')]",ir claro cardena,['cardena'],0.23547448214396235
402,estamos contigo clarita,"['estamos', 'contigo', 'clarita']","[('estamos', 'contigo'), ('contigo', 'clarita')]","[('estamos', 'contigo', 'clarita')]",estar contigo claritar,['claritar'],0.29797611903559484
403,el burro hablando de orejas,"['el', 'burro', 'hablando', 'de', 'orejas']","[('el', 'burro'), ('burro', 'hablando'), ('hablando', 'de'), ('de', 'orejas')]","[('el', 'burro', 'hablando'), ('burro', 'hablando', 'de'), ('hablando', 'de', 'orejas')]",el burro hablar de oreja,"['burro', 'hablar', 'oreja']",0.10850792594965541
404,bardas las que puso lemus en para su informe de campaña y que casualmente borraron y solo dejaron un logo,"['bardas', 'las', 'que', 'puso', 'lemus', 'en', 'para', 'su', 'informe', 'de', 'campaña', 'y', 'que', 'casualmente', 'borraron', 'y', 'solo', 'dejaron', 'un', 'logo']","[('bardas', 'las'), ('las', 'que'), ('que', 'puso'), ('puso', 'lemus'), ('lemus', 'en'), ('en', 'para'), ('para', 'su'), ('su', 'informe'), ('informe', 'de'), ('de', 'campaña'), ('campaña', 'y'), ('y', 'que'), ('que', 'casualmente'), ('casualmente', 'borraron'), ('borraron', 'y'), ('y', 'solo'), ('solo', 'dejaron'), ('dejaron', 'un'), ('un', 'logo')]","[('bardas', 'las', 'que'), ('las', 'que', 'puso'), ('que', 'puso', 'lemus'), ('puso', 'lemus', 'en'), ('lemus', 'en', 'para'), ('en', 'para', 'su'), ('para', 'su', 'informe'), ('su', 'informe', 'de'), ('informe', 'de', 'campaña'), ('de', 'campaña', 'y'), ('campaña', 'y', 'que'), ('y', 'que', 'casualmente'), ('que', 'casualmente', 'borraron'), ('casualmente', 'borraron', 'y'), ('borraron', 'y', 'solo'), ('y', 'solo', 'dejaron'), ('solo', 'dejaron', 'un'), ('dejaron', 'un', 'logo')]",barda el que poner lemus en para su informe de campaña y que casualmente borrar y solo dejar uno logo,"['bardir', 'lemus', 'informe', 'campaña', 'casualmente', 'borrar', 'dejar', 'logo']",0.0060808699413724505
405,conforme avanza el proceso electoral rumbo al 2024 en jalisco morena aumenta preferencias para derrotar a mc igualmente,"['conforme', 'avanza', 'el', 'proceso', 'electoral', 'rumbo', 'al', '2024', 'en', 'jalisco', 'morena', 'aumenta', 'preferencias', 'para', 'derrotar', 'a', 'mc', 'igualmente']","[('conforme', 'avanza'), ('avanza', 'el'), ('el', 'proceso'), ('proceso', 'electoral'), ('electoral', 'rumbo'), ('rumbo', 'al'), ('al', '2024'), ('2024', 'en'), ('en', 'jalisco'), ('jalisco', 'morena'), ('morena', 'aumenta'), ('aumenta', 'preferencias'), ('preferencias', 'para'), ('para', 'derrotar'), ('derrotar', 'a'), ('a', 'mc'), ('mc', 'igualmente')]","[('conforme', 'avanza', 'el'), ('avanza', 'el', 'proceso'), ('el', 'proceso', 'electoral'), ('proceso', 'electoral', 'rumbo'), ('electoral', 'rumbo', 'al'), ('rumbo', 'al', '2024'), ('al', '2024', 'en'), ('2024', 'en', 'jalisco'), ('en', 'jalisco', 'morena'), ('jalisco', 'morena', 'aumenta'), ('morena', 'aumenta', 'preferencias'), ('aumenta', 'preferencias', 'para'), ('preferencias', 'para', 'derrotar'), ('para', 'derrotar', 'a'), ('derrotar', 'a', 'mc'), ('a', 'mc', 'igualmente')]",conforme avanzar el proceso electoral rumbo al 2024 en jalisco morena aumentar preferencia para derrotar a mc igualmente,"['conforme', 'avanzar', 'proceso', 'electoral', 'rumbo', 'jalisco', 'morén', 'aumentar', 'preferencia', 'derrotar', 'mc', 'igualmente']",0.36980736594954505
406,pero aún les falta que la cdmx perdone a la judía católica cristiana por lo de la línea 12 la falta de mantenimiento del metro y lo del covid de jalisco y nl nunca votarán por,"['pero', 'aún', 'les', 'falta', 'que', 'la', 'cdmx', 'perdone', 'a', 'la', 'judía', 'católica', 'cristiana', 'por', 'lo', 'de', 'la', 'línea', '12', 'la', 'falta', 'de', 'mantenimiento', 'del', 'metro', 'y', 'lo', 'del', 'covid', 'de', 'jalisco', 'y', 'nl', 'nunca', 'votarán', 'por']","[('pero', 'aún'), ('aún', 'les'), ('les', 'falta'), ('falta', 'que'), ('que', 'la'), ('la', 'cdmx'), ('cdmx', 'perdone'), ('perdone', 'a'), ('a', 'la'), ('la', 'judía'), ('judía', 'católica'), ('católica', 'cristiana'), ('cristiana', 'por'), ('por', 'lo'), ('lo', 'de'), ('de', 'la'), ('la', 'línea'), ('línea', '12'), ('12', 'la'), ('la', 'falta'), ('falta', 'de'), ('de', 'mantenimiento'), ('mantenimiento', 'del'), ('del', 'metro'), ('metro', 'y'), ('y', 'lo'), ('lo', 'del'), ('del', 'covid'), ('covid', 'de'), ('de', 'jalisco'), ('jalisco', 'y'), ('y', 'nl'), ('nl', 'nunca'), ('nunca', 'votarán'), ('votarán', 'por')]","[('pero', 'aún', 'les'), ('aún', 'les', 'falta'), ('les', 'falta', 'que'), ('falta', 'que', 'la'), ('que', 'la', 'cdmx'), ('la', 'cdmx', 'perdone'), ('cdmx', 'perdone', 'a'), ('perdone', 'a', 'la'), ('a', 'la', 'judía'), ('la', 'judía', 'católica'), ('judía', 'católica', 'cristiana'), ('católica', 'cristiana', 'por'), ('cristiana', 'por', 'lo'), ('por', 'lo', 'de'), ('lo', 'de', 'la'), ('de', 'la', 'línea'), ('la', 'línea', '12'), ('línea', '12', 'la'), ('12', 'la', 'falta'), ('la', 'falta', 'de'), ('falta', 'de', 'mantenimiento'), ('de', 'mantenimiento', 'del'), ('mantenimiento', 'del', 'metro'), ('del', 'metro', 'y'), ('metro', 'y', 'lo'), ('y', 'lo', 'del'), ('lo', 'del', 'covid'), ('del', 'covid', 'de'), ('covid', 'de', 'jalisco'), ('de', 'jalisco', 'y'), ('jalisco', 'y', 'nl'), ('y', 'nl', 'nunca'), ('nl', 'nunca', 'votarán'), ('nunca', 'votarán', 'por')]",pero aún él faltar que el cdmx perdone a el judío católico cristiano por él de el línea 12 el falta de mantenimiento del metro y él del covid de jalisco y nl nunca votar por,"['faltar', 'cdmx', 'perdonar', 'judío', 'católico', 'cristiano', 'línea', 'falta', 'mantenimiento', 'metro', 'covid', 'jalisco', 'nl', 'votar']",1.0962008797474335e-05
407,claro que no los conoces doctor penicilina los pagas y lo hacen sin jamás conocerse,"['claro', 'que', 'no', 'los', 'conoces', 'doctor', 'penicilina', 'los', 'pagas', 'y', 'lo', 'hacen', 'sin', 'jamás', 'conocerse']","[('claro', 'que'), ('que', 'no'), ('no', 'los'), ('los', 'conoces'), ('conoces', 'doctor'), ('doctor', 'penicilina'), ('penicilina', 'los'), ('los', 'pagas'), ('pagas', 'y'), ('y', 'lo'), ('lo', 'hacen'), ('hacen', 'sin'), ('sin', 'jamás'), ('jamás', 'conocerse')]","[('claro', 'que', 'no'), ('que', 'no', 'los'), ('no', 'los', 'conoces'), ('los', 'conoces', 'doctor'), ('conoces', 'doctor', 'penicilina'), ('doctor', 'penicilina', 'los'), ('penicilina', 'los', 'pagas'), ('los', 'pagas', 'y'), ('pagas', 'y', 'lo'), ('y', 'lo', 'hacen'), ('lo', 'hacen', 'sin'), ('hacen', 'sin', 'jamás'), ('sin', 'jamás', 'conocerse')]",claro que no el conoz doctor penicilinar el paga y él hacer sin jamás conocer él,"['conoz', 'doctor', 'penicilinar', 'paga', 'jamás']",1.0084134440706813e-05
408,manipulación de información para no caer en consecuencias pre electorales y post electorales,"['manipulación', 'de', 'información', 'para', 'no', 'caer', 'en', 'consecuencias', 'pre', 'electorales', 'y', 'post', 'electorales']","[('manipulación', 'de'), ('de', 'información'), ('información', 'para'), ('para', 'no'), ('no', 'caer'), ('caer', 'en'), ('en', 'consecuencias'), ('consecuencias', 'pre'), ('pre', 'electorales'), ('electorales', 'y'), ('y', 'post'), ('post', 'electorales')]","[('manipulación', 'de', 'información'), ('de', 'información', 'para'), ('información', 'para', 'no'), ('para', 'no', 'caer'), ('no', 'caer', 'en'), ('caer', 'en', 'consecuencias'), ('en', 'consecuencias', 'pre'), ('consecuencias', 'pre', 'electorales'), ('pre', 'electorales', 'y'), ('electorales', 'y', 'post'), ('y', 'post', 'electorales')]",manipulación de información para no caer en consecuencia pre electoral y post electoral,"['manipulación', 'información', 'caer', 'consecuencia', 'pre', 'electoral', 'post', 'electoral']",0.03338677032736508
409,ten la seguridad,"['ten', 'la', 'seguridad']","[('ten', 'la'), ('la', 'seguridad')]","[('ten', 'la', 'seguridad')]",tar el seguridad,"['tar', 'seguridad']",0.10749265847999172
410,en jalisco no quieren a lomeli,"['en', 'jalisco', 'no', 'quieren', 'a', 'lomeli']","[('en', 'jalisco'), ('jalisco', 'no'), ('no', 'quieren'), ('quieren', 'a'), ('a', 'lomeli')]","[('en', 'jalisco', 'no'), ('jalisco', 'no', 'quieren'), ('no', 'quieren', 'a'), ('quieren', 'a', 'lomeli')]",en jalisco no querer a lomeli,"['jalisco', 'querer', 'lomeli']",0.05257473912607717
411,5348,"['5', '348']",[],[],5348,[],0.49789225920557484
413,usted ni honesto ni integro en pocas palabras una baratija,"['usted', 'ni', 'honesto', 'ni', 'integro', 'en', 'pocas', 'palabras', 'una', 'baratija']","[('usted', 'ni'), ('ni', 'honesto'), ('honesto', 'ni'), ('ni', 'integro'), ('integro', 'en'), ('en', 'pocas'), ('pocas', 'palabras'), ('palabras', 'una'), ('una', 'baratija')]","[('usted', 'ni', 'honesto'), ('ni', 'honesto', 'ni'), ('honesto', 'ni', 'integro'), ('ni', 'integro', 'en'), ('integro', 'en', 'pocas'), ('en', 'pocas', 'palabras'), ('pocas', 'palabras', 'una'), ('palabras', 'una', 'baratija')]",usted ni honesto ni integro en poco palabra uno baratijo,"['honesto', 'integro', 'palabra', 'baratijo']",0.0014141337716335684
414,no es muy honesto vender omeprazol a sobre precio,"['no', 'es', 'muy', 'honesto', 'vender', 'omeprazol', 'a', 'sobre', 'precio']","[('no', 'es'), ('es', 'muy'), ('muy', 'honesto'), ('honesto', 'vender'), ('vender', 'omeprazol'), ('omeprazol', 'a'), ('a', 'sobre'), ('sobre', 'precio')]","[('no', 'es', 'muy'), ('es', 'muy', 'honesto'), ('muy', 'honesto', 'vender'), ('honesto', 'vender', 'omeprazol'), ('vender', 'omeprazol', 'a'), ('omeprazol', 'a', 'sobre'), ('a', 'sobre', 'precio')]",no ser mucho honesto vender omeprazol a sobre precio,"['honesto', 'vender', 'omeprazol', 'precio']",0.3460738843341955
415,de veras,"['de', 'veras']","[('de', 'veras')]",[],de vera,['vera'],0.46127768308170247
416,que propones,"['que', 'propones']","[('que', 'propones')]",[],que propón,['propón'],0.3029968537174699
417,wow sitando al capital ya sabemos a quien admiras y para q haces como q trabajas xd,"['wow', 'sitando', 'al', 'capital', 'ya', 'sabemos', 'a', 'quien', 'admiras', 'y', 'para', 'q', 'haces', 'como', 'q', 'trabajas', 'xd']","[('wow', 'sitando'), ('sitando', 'al'), ('al', 'capital'), ('capital', 'ya'), ('ya', 'sabemos'), ('sabemos', 'a'), ('a', 'quien'), ('quien', 'admiras'), ('admiras', 'y'), ('y', 'para'), ('para', 'q'), ('q', 'haces'), ('haces', 'como'), ('como', 'q'), ('q', 'trabajas'), ('trabajas', 'xd')]","[('wow', 'sitando', 'al'), ('sitando', 'al', 'capital'), ('al', 'capital', 'ya'), ('capital', 'ya', 'sabemos'), ('ya', 'sabemos', 'a'), ('sabemos', 'a', 'quien'), ('a', 'quien', 'admiras'), ('quien', 'admiras', 'y'), ('admiras', 'y', 'para'), ('y', 'para', 'q'), ('para', 'q', 'haces'), ('q', 'haces', 'como'), ('haces', 'como', 'q'), ('como', 'q', 'trabajas'), ('q', 'trabajas', 'xd')]",wow sitar al capital ya saber a quien admira y para q haz como q trabajas xd,"['wow', 'sitar', 'capital', 'admirar', 'q', 'haz', 'q', 'trabajas', 'xd']",0.06237184634911995
